,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Barking,51.54022314390864,0.10892550202429108,Co-op Food,51.54143279508095,0.11405855277439277,Grocery Store
1,Barking,51.54022314390864,0.10892550202429108,Barking Lake,51.541546430234064,0.1126526839246018,River
2,Barking,51.54022314390864,0.10892550202429108,Round House Chinese,51.54123730466969,0.11321604251861572,Chinese Restaurant
3,Barking,51.54022314390864,0.10892550202429108,Roundhouse,51.541545487833645,0.1137422873765682,Pub
4,Battersea,51.467692591856675,-0.15682778705637013,Costa Do Estoril,51.46550337699917,-0.15606205499657294,Portuguese Restaurant
5,Battersea,51.467692591856675,-0.15682778705637013,Nancy Lam's Enak Enak,51.465976,-0.153701,Indonesian Restaurant
6,Battersea,51.467692591856675,-0.15682778705637013,Palace Spice,51.46519939038356,-0.15775284234937453,Indian Restaurant
7,Battersea,51.467692591856675,-0.15682778705637013,Cafe Lagu,51.465186,-0.15826,Café
8,Battersea,51.467692591856675,-0.15682778705637013,Ristorante Ichnusa,51.46624093817253,-0.15218792998533656,Italian Restaurant
9,Battersea,51.467692591856675,-0.15682778705637013,Union Station Yoga,51.46629968938806,-0.15158686348677916,Yoga Studio
10,Battersea,51.467692591856675,-0.15682778705637013,Sendero Specialty Coffee,51.466369022043885,-0.15067060050270414,Coffee Shop
11,Battersea,51.467692591856675,-0.15682778705637013,BAC (Battersea Arts Centre),51.464816262893905,-0.16077216856928778,Theater
12,Battersea,51.467692591856675,-0.15682778705637013,Donna Margherita,51.46478091522619,-0.15975441860583936,Italian Restaurant
13,Battersea,51.467692591856675,-0.15682778705637013,Fox & Hounds,51.46717508827301,-0.16277608640750135,Pub
14,Battersea,51.467692591856675,-0.15682778705637013,Social Pantry,51.464466208967174,-0.16140039785682775,Café
15,Battersea,51.467692591856675,-0.15682778705637013,Il Molino,51.46500950203509,-0.15853849463693695,Café
16,Battersea,51.467692591856675,-0.15682778705637013,The Crown,51.4656759,-0.1559874,Pub
17,Battersea,51.467692591856675,-0.15682778705637013,Tumnan Thai,51.46495680778025,-0.1589480870855493,Thai Restaurant
18,Battersea,51.467692591856675,-0.15682778705637013,Le Pot Lyonnais,51.46787433501458,-0.15053711081014612,French Restaurant
19,Battersea,51.467692591856675,-0.15682778705637013,Caffè Nero,51.46634280733603,-0.1505465429671624,Coffee Shop
20,Battersea,51.467692591856675,-0.15682778705637013,Khan's,51.4650023375,-0.158916,Indian Restaurant
21,Battersea,51.467692591856675,-0.15682778705637013,Sainsbury's Local,51.46639016842552,-0.15046515719661502,Grocery Store
22,Battersea,51.467692591856675,-0.15682778705637013,The Lavender,51.46492490666174,-0.1592887280584977,Restaurant
23,Battersea,51.467692591856675,-0.15682778705637013,Bangkok Boulevard,51.4657295620031,-0.15485252260397198,Thai Restaurant
24,Battersea,51.467692591856675,-0.15682778705637013,Ukai Sushi,51.466152,-0.152505,Sushi Restaurant
25,Battersea,51.467692591856675,-0.15682778705637013,Latchmere No.3 Junction,51.468125331588304,-0.1622661684868266,Train Station
26,Beckenham,51.39263492875493,-0.010579309904153412,Langley Boys Rugby Ground,51.38984611412719,-0.01566866607779685,Athletics & Sports
27,Beckenham,51.39263492875493,-0.010579309904153412,ODRFC,51.38899577567615,-0.014447625473845043,Athletics & Sports
28,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Machine Cycling Café/Bike Shop and Repairs,51.496474078664164,-0.08231034149098025,Bike Shop
29,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Roka,51.49586762068132,-0.07907187983064669,Breakfast Spot
30,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,HEJ,51.497149552511715,-0.08101424581686643,Coffee Shop
31,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,214 Bermondsey,51.49799187283506,-0.08137038489245557,Cocktail Bar
32,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Flour & Grape,51.497965134193855,-0.08133606757448779,Italian Restaurant
33,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,The Watch House,51.49799503583915,-0.08127741235092369,Coffee Shop
34,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Cafe Amisha,51.49510515208848,-0.07662634282745129,Italian Restaurant
35,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,The Other Room,51.495772,-0.082987,Bar
36,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Kino Bermondsey,51.497590460044265,-0.08089550458183128,Indie Movie Theater
37,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Pizarro,51.49832202534203,-0.08117909724309832,Spanish Restaurant
38,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,The Grange Pub,51.49389329578562,-0.07483053154142526,Pub
39,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Bermondsey Square,51.497562,-0.081062,Plaza
40,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Tower Tandoori,51.496118,-0.08253379999999999,Indian Restaurant
41,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Kagyu Samye Dzong London,51.49552380545445,-0.07437005229550804,Temple
42,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Bermondsey Spa Gardens,51.49490744632701,-0.07427043185361624,Park
43,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,F*ckoffee,51.49935817367657,-0.08128169635110911,Coffee Shop
44,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Fine Foods,51.498385,-0.084026,Deli / Bodega
45,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,White Cube,51.49964322491608,-0.08149552792778084,Art Gallery
46,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Maltby Street Market,51.49924514599032,-0.07547525667296126,Street Food Gathering
47,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Little Bird,51.499278905661576,-0.07561156203414932,Cocktail Bar
48,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Jensen Gin,51.49879878458599,-0.07491613199934041,Distillery
49,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Locanda del Melo,51.498384,-0.084012,Italian Restaurant
50,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,St Mary Magdalen Churchyard,51.49852657600998,-0.07960938701575836,Park
51,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Bar Tozino,51.49921957139185,-0.07544731743672019,Tapas Restaurant
52,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,40 Maltby St,51.49961269332499,-0.076050419619996,Wine Bar
53,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Jad Grill,51.49646123983126,-0.0823565530962403,Middle Eastern Restaurant
54,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,LASSCO,51.49933482409138,-0.07568678211800635,Antique Shop
55,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Tower Cafe,51.495689,-0.083375,Middle Eastern Restaurant
56,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,African Volcano,51.499085205318046,-0.07542237331507443,Food Truck
57,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,St John Bakery,51.49932569128006,-0.07552352534720479,Bakery
58,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Ethiopian Flavours,51.499392905094915,-0.0757672068047307,Food Truck
59,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Simon The Tanner,51.49826700610508,-0.08297871114429946,Pub
60,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,M. Manze's,51.496288114604276,-0.0825782018516837,Pie Shop
61,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,The Russian T-34 Tank,51.49294892385458,-0.08263617753982544,Public Art
62,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,SoBo,51.49618471604605,-0.0827219435179522,Café
63,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,Crystal China 味缘 （伦敦最强麻辣香锅 川菜）,51.49629959038445,-0.08254902279618472,Chinese Restaurant
64,Bermondsey and Old Southwark,51.4956889020366,-0.07944139498789672,The George,51.49536998982468,-0.08377385789879332,Pub
